size,tipo,dominio,muestra,time_ms,rss_before_kb,rss_after_kb,delta_rss_kb,peak_kb,delta_peak_from_start_kb
10,ascendente,D1,a,0.000,1520,2304,784,2212,692
10,ascendente,D1,b,0.000,1520,2304,784,2204,684
10,ascendente,D1,c,0.000,1520,2304,784,2204,684
10,ascendente,D7,a,0.000,1520,2304,784,2204,684
10,ascendente,D7,b,0.000,1520,2304,784,2204,684
10,ascendente,D7,c,0.000,1520,2304,784,2204,684
10,descendente,D1,a,0.000,1520,2304,784,2204,684
10,descendente,D1,b,0.000,1520,2304,784,2204,684
10,descendente,D1,c,0.000,1520,2304,784,2204,684
10,descendente,D7,a,0.000,1520,2304,784,2204,684
10,descendente,D7,b,0.000,1520,2304,784,2204,684
10,descendente,D7,c,0.000,1520,2304,784,2204,684
10,aleatorio,D1,a,0.000,1520,2304,784,2204,684
10,aleatorio,D1,b,0.000,1520,2304,784,2204,684
10,aleatorio,D1,c,0.000,1520,2304,784,2204,684
10,aleatorio,D7,a,0.000,1520,2304,784,2204,684
10,aleatorio,D7,b,0.000,1520,2304,784,2204,684
10,aleatorio,D7,c,0.000,1520,2304,784,2204,684
1000,ascendente,D1,a,0.005,1532,2312,780,2204,672
1000,ascendente,D1,b,0.005,1532,2312,780,2204,672
1000,ascendente,D1,c,0.005,1532,2312,780,2204,672
1000,ascendente,D7,a,0.005,1532,2312,780,2204,672
1000,ascendente,D7,b,0.005,1532,2312,780,2204,672
1000,ascendente,D7,c,0.005,1532,2312,780,2204,672
1000,descendente,D1,a,0.006,1532,2312,780,2204,672
1000,descendente,D1,b,0.005,1532,2312,780,2204,672
1000,descendente,D1,c,0.005,1532,2312,780,2204,672
1000,descendente,D7,a,0.004,1532,2312,780,2204,672
1000,descendente,D7,b,0.004,1532,2312,780,2204,672
1000,descendente,D7,c,0.003,1532,2312,780,2204,672
1000,aleatorio,D1,a,0.016,1532,2312,780,2204,672
1000,aleatorio,D1,b,0.016,1532,2312,780,2204,672
1000,aleatorio,D1,c,0.015,1532,2312,780,2204,672
1000,aleatorio,D7,a,0.030,1532,2312,780,2204,672
1000,aleatorio,D7,b,0.030,1532,2312,780,2204,672
1000,aleatorio,D7,c,0.029,1532,2312,780,2204,672
100000,ascendente,D1,a,0.537,2500,3280,780,3208,708
100000,ascendente,D1,b,0.539,2432,3212,780,3148,716
100000,ascendente,D1,c,0.537,2432,3212,780,3148,716
100000,ascendente,D7,a,0.723,2432,3212,780,3148,716
100000,ascendente,D7,b,0.715,2432,3212,780,3148,716
100000,ascendente,D7,c,0.831,2432,3212,780,3148,716
100000,descendente,D1,a,0.530,2432,3212,780,3148,716
100000,descendente,D1,b,0.531,2432,3212,780,3148,716
100000,descendente,D1,c,0.553,2432,3212,780,3148,716
100000,descendente,D7,a,0.489,2432,3212,780,3148,716
100000,descendente,D7,b,0.487,2432,3212,780,3148,716
100000,descendente,D7,c,0.484,2432,3212,780,3148,716
100000,aleatorio,D1,a,1.614,2432,3212,780,3148,716
100000,aleatorio,D1,b,1.562,2432,3212,780,3148,716
100000,aleatorio,D1,c,1.626,2432,3212,780,3148,716
100000,aleatorio,D7,a,4.822,2432,3212,780,3148,716
100000,aleatorio,D7,b,4.676,2432,3212,780,3148,716
100000,aleatorio,D7,c,4.626,2432,3212,780,3148,716
10000000,ascendente,D1,a,68.579,79848,80628,780,80500,652
10000000,ascendente,D1,b,68.249,79848,80628,780,80500,652
10000000,ascendente,D1,c,70.185,79848,80628,780,80500,652
10000000,ascendente,D7,a,105.613,79848,80628,780,80500,652
10000000,ascendente,D7,b,105.003,79848,80628,780,80500,652
10000000,ascendente,D7,c,105.094,79848,80628,780,80500,652
10000000,descendente,D1,a,68.702,79848,80628,780,80500,652
10000000,descendente,D1,b,68.114,79848,80628,780,80500,652
10000000,descendente,D1,c,68.979,79848,80628,780,80500,652
10000000,descendente,D7,a,92.229,79848,80628,780,80500,652
10000000,descendente,D7,b,93.506,79848,80628,780,80500,652
10000000,descendente,D7,c,91.581,79848,80628,780,80500,652
10000000,aleatorio,D1,a,166.207,79848,80628,780,80500,652
10000000,aleatorio,D1,b,164.365,79848,80628,780,80500,652
10000000,aleatorio,D1,c,164.787,79848,80628,780,80500,652
10000000,aleatorio,D7,a,631.619,79848,80628,780,80500,652
10000000,aleatorio,D7,b,612.091,79848,80628,780,80500,652
10000000,aleatorio,D7,c,611.781,79848,80628,780,80500,652
